# Solar Eclipse Obscuration file for 2017-08-21 19:05:00
grid,lat,lon,obsc
AN14,44.5,-177.0,0.0
AN15,45.5,-177.0,0.0
AN16,46.5,-177.0,0.0
AN17,47.5,-177.0,0.0
AN18,48.5,-177.0,0.0
AN19,49.5,-177.0,0.0
AO10,50.5,-177.0,0.0
AO11,51.5,-177.0,0.0
AO12,52.5,-177.0,0.0
AO13,53.5,-177.0,0.0
AO14,54.5,-177.0,0.0
AO15,55.5,-177.0,0.0
AO16,56.5,-177.0,0.0
AO17,57.5,-177.0,0.0
AO18,58.5,-177.0,0.0
AO19,59.5,-177.0,0.0
AP10,60.5,-177.0,0.0
AP11,61.5,-177.0,0.0
AP12,62.5,-177.0,0.0
AP13,63.5,-177.0,0.0
AP14,64.5,-177.0,0.0
AP15,65.5,-177.0,0.0
AP16,66.5,-177.0,0.0
AP17,67.5,-177.0,0.0
AP18,68.5,-177.0,0.0
AP19,69.5,-177.0,0.0
AQ10,70.5,-177.0,0.0
AQ11,71.5,-177.0,0.0
AQ12,72.5,-177.0,0.0
AQ13,73.5,-177.0,0.0
AQ14,74.5,-177.0,0.0
AQ15,75.5,-177.0,0.0
AQ16,76.5,-177.0,0.0
AQ17,77.5,-177.0,0.0
AQ18,78.5,-177.0,0.0
AQ19,79.5,-177.0,0.0
AR10,80.5,-177.0,0.0
AR11,81.5,-177.0,0.0
AR12,82.5,-177.0,0.0
AR13,83.5,-177.0,0.0
AR14,84.5,-177.0,0.0
AR15,85.5,-177.0,0.0
AR16,86.5,-177.0,0.0
AR17,87.5,-177.0,0.0
AR18,88.5,-177.0,0.0
AR19,89.5,-177.0,0.0
AA20,-89.5,-175.0,0.0
AA21,-88.5,-175.0,0.0
AA22,-87.5,-175.0,0.0
AA23,-86.5,-175.0,0.0
AA24,-85.5,-175.0,0.0
AA25,-84.5,-175.0,0.0
AA26,-83.5,-175.0,0.0
AA27,-82.5,-175.0,0.0
AA28,-81.5,-175.0,0.0
AA29,-80.5,-175.0,0.0
AB20,-79.5,-175.0,0.0
AB21,-78.5,-175.0,0.0
AB22,-77.5,-175.0,0.0
AB23,-76.5,-175.0,0.0
AB24,-75.5,-175.0,0.0
AB25,-74.5,-175.0,0.0
AB26,-73.5,-175.0,0.0
AB27,-72.5,-175.0,0.0
AB28,-71.5,-175.0,0.0
AB29,-70.5,-175.0,0.0
AC20,-69.5,-175.0,0.0
AC21,-68.5,-175.0,0.0
AC22,-67.5,-175.0,0.0
AC23,-66.5,-175.0,0.0
AC24,-65.5,-175.0,0.0
AC25,-64.5,-175.0,0.0
AC26,-63.5,-175.0,0.0
AC27,-62.5,-175.0,0.0
AC28,-61.5,-175.0,0.0
AC29,-60.5,-175.0,0.0
AD20,-59.5,-175.0,0.0
AD21,-58.5,-175.0,0.0
AD22,-57.5,-175.0,0.0
AD23,-56.5,-175.0,0.0
AD24,-55.5,-175.0,0.0
AD25,-54.5,-175.0,0.0
AD26,-53.5,-175.0,0.0
AD27,-52.5,-175.0,0.0
AD28,-51.5,-175.0,0.0
AD29,-50.5,-175.0,0.0
AE20,-49.5,-175.0,0.0
AE21,-48.5,-175.0,0.0
AE22,-47.5,-175.0,0.0
AE23,-46.5,-175.0,0.0
AE24,-45.5,-175.0,0.0
AE25,-44.5,-175.0,0.0
AE26,-43.5,-175.0,0.0
AE27,-42.5,-175.0,0.0
AE28,-41.5,-175.0,0.0
AE29,-40.5,-175.0,0.0
AF20,-39.5,-175.0,0.0
AF21,-38.5,-175.0,0.0
AF22,-37.5,-175.0,0.0
AF23,-36.5,-175.0,0.0
AF24,-35.5,-175.0,0.0
AF25,-34.5,-175.0,0.0
AF26,-33.5,-175.0,0.0
AF27,-32.5,-175.0,0.0
AF28,-31.5,-175.0,0.0
AF29,-30.5,-175.0,0.0
AG20,-29.5,-175.0,0.0
AG21,-28.5,-175.0,0.0
AG22,-27.5,-175.0,0.0
AG23,-26.5,-175.0,0.0
AG24,-25.5,-175.0,0.0
AG25,-24.5,-175.0,0.0
AG26,-23.5,-175.0,0.0
AG27,-22.5,-175.0,0.0
AG28,-21.5,-175.0,0.0
AG29,-20.5,-175.0,0.0
AH20,-19.5,-175.0,0.0
AH21,-18.5,-175.0,0.0
AH22,-17.5,-175.0,0.0
AH23,-16.5,-175.0,0.0
AH24,-15.5,-175.0,0.0
AH25,-14.5,-175.0,0.0
AH26,-13.5,-175.0,0.0
AH27,-12.5,-175.0,0.0
AH28,-11.5,-175.0,0.0
AH29,-10.5,-175.0,0.0
AI20,-9.5,-175.0,0.0
AI21,-8.5,-175.0,0.0
AI22,-7.5,-175.0,0.0
AI23,-6.5,-175.0,0.0
AI24,-5.5,-175.0,0.0
AI25,-4.5,-175.0,0.0
AI26,-3.5,-175.0,0.0
AI27,-2.5,-175.0,0.0
AI28,-1.5,-175.0,0.0
AI29,-0.5,-175.0,0.0
AJ20,0.5,-175.0,0.0
AJ21,1.5,-175.0,0.0
AJ22,2.5,-175.0,0.0
AJ23,3.5,-175.0,0.0
AJ24,4.5,-175.0,0.0
AJ25,5.5,-175.0,0.0
AJ26,6.5,-175.0,0.0
AJ27,7.5,-175.0,0.0
AJ28,8.5,-175.0,0.0
AJ29,9.5,-175.0,0.0
AK20,10.5,-175.0,0.0
AK21,11.5,-175.0,0.0
AK22,12.5,-175.0,0.0
AK23,13.5,-175.0,0.0
AK24,14.5,-175.0,0.0
AK25,15.5,-175.0,0.0
AK26,16.5,-175.0,0.0
AK27,17.5,-175.0,0.0
AK28,18.5,-175.0,0.0
AK29,19.5,-175.0,0.0
AL20,20.5,-175.0,0.0
AL21,21.5,-175.0,0.0
AL22,22.5,-175.0,0.0
AL23,23.5,-175.0,0.0
AL24,24.5,-175.0,0.0
AL25,25.5,-175.0,0.0
AL26,26.5,-175.0,0.0
AL27,27.5,-175.0,0.0
AL28,28.5,-175.0,0.0
AL29,29.5,-175.0,0.0
AM20,30.5,-175.0,0.0
AM21,31.5,-175.0,0.0
AM22,32.5,-175.0,0.0
AM23,33.5,-175.0,0.0
AM24,34.5,-175.0,0.0
AM25,35.5,-175.0,0.0
AM26,36.5,-175.0,0.0
AM27,37.5,-175.0,0.0
AM28,38.5,-175.0,0.0
AM29,39.5,-175.0,0.0
AN20,40.5,-175.0,0.0
AN21,41.5,-175.0,0.0
AN22,42.5,-175.0,0.0
AN23,43.5,-175.0,0.0
AN24,44.5,-175.0,0.0
AN25,45.5,-175.0,0.0
AN26,46.5,-175.0,0.0
AN27,47.5,-175.0,0.0
AN28,48.5,-175.0,0.0
AN29,49.5,-175.0,0.0
AO20,50.5,-175.0,0.0
AO21,51.5,-175.0,0.0
AO22,52.5,-175.0,0.0
AO23,53.5,-175.0,0.0
AO24,54.5,-175.0,0.0
AO25,55.5,-175.0,0.0
AO26,56.5,-175.0,0.0
AO27,57.5,-175.0,0.0
AO28,58.5,-175.0,0.0
AO29,59.5,-175.0,0.0
AP20,60.5,-175.0,0.0
AP21,61.5,-175.0,0.0
